species,yeast_ortholog,domain_arch_conservation
A_alge,P13393,Conserved domain architecture
A_alge,P13433,Ortholog not conserved
A_alge,P13517,Ortholog not conserved
A_alge,P13574,Conserved domain architecture
A_alge,P13663,Ortholog not conserved
A_alge,P13711,Ortholog not conserved
A_alge,P14020,Conserved domain architecture
A_alge,P14120,Conserved domain architecture
A_alge,P14126,Conserved domain architecture
A_alge,P14737,Ortholog not conserved
A_alge,P14741,Ortholog not conserved
A_alge,P14743,Ortholog not conserved
A_alge,P14906,Ortholog not conserved
A_alge,P14922,Lost domain(s)
A_alge,P15179,Ortholog not conserved
A_alge,P15303,Conserved domain architecture
A_alge,P15367,Conserved domain architecture
A_alge,P15442,Ortholog not conserved
A_alge,P15454,Conserved domain architecture
A_alge,P15496,Lost domain(s)
A_alge,P15565,Conserved domain architecture
A_alge,P15624,Conserved domain architecture
A_alge,P15625,Lost domain(s)
A_alge,P15646,Conserved domain architecture
A_alge,P15801,Ortholog not conserved
A_alge,P15873,Conserved domain architecture
A_alge,P15891,Ortholog not conserved
A_alge,P16120,Ortholog not conserved
A_alge,P16140,Conserved domain architecture
A_alge,P16387,Ortholog not conserved
A_alge,P16622,Ortholog not conserved
A_alge,P16639,Ortholog not conserved
A_alge,P16661,Ortholog not conserved
A_alge,P17065,Ortholog not conserved
A_alge,P17555,Ortholog not conserved
A_alge,P17883,Ortholog not conserved
A_alge,P17891,Ortholog not conserved
A_alge,P18409,Ortholog not conserved
A_alge,P18412,Ortholog not conserved
A_alge,P18414,Conserved domain architecture
A_alge,P18496,Ortholog not conserved
A_alge,P18759,Lost domain(s)
A_alge,P18852,Ortholog not conserved
A_alge,P18900,Ortholog not conserved
A_alge,P19262,Ortholog not conserved
A_alge,P19516,Ortholog not conserved
A_alge,P19658,Ortholog not conserved
A_alge,P19659,Ortholog not conserved
A_alge,P19735,Ortholog not conserved
A_alge,P19736,Lost domain(s)
A_alge,P19881,Ortholog not conserved
A_alge,P19882,Ortholog not conserved
A_alge,P20048,Ortholog not conserved
A_alge,P20084,Ortholog not conserved
A_alge,P20424,Lost domain(s)
A_alge,P20433,Lost domain(s)
A_alge,P20434,Conserved domain architecture
A_alge,P20435,Conserved domain architecture
A_alge,P20436,Conserved domain architecture
A_alge,P20457,Conserved domain architecture
A_alge,P20459,Conserved domain architecture
A_alge,P20484,Ortholog not conserved
A_alge,P20486,Ortholog not conserved
A_alge,P20795,Ortholog not conserved
A_alge,P20967,Ortholog not conserved
A_alge,P21269,Lost domain(s)
A_alge,P21306,Ortholog not conserved
A_alge,P21374,Ortholog not conserved
A_alge,P21592,Ortholog not conserved
A_alge,P21771,Ortholog not conserved
A_alge,P21801,Ortholog not conserved
A_alge,P21825,Conserved domain architecture
A_alge,P21951,Lost domain(s)
A_alge,P22023,Ortholog not conserved
A_alge,P22135,Ortholog not conserved
A_alge,P22137,Ortholog not conserved
A_alge,P22139,Ortholog not conserved
A_alge,P22141,Conserved domain architecture
A_alge,P22203,Ortholog not conserved
A_alge,P22214,Lost domain(s)
A_alge,P22224,Ortholog not conserved
A_alge,P22289,Ortholog not conserved
A_alge,P22336,Gained/swapped domain(s)
A_alge,P22438,Ortholog not conserved
A_alge,P22579,Lost domain(s)
A_alge,P22580,Ortholog not conserved
A_alge,P22696,Ortholog not conserved
A_alge,P22855,Ortholog not conserved
A_alge,P22936,Conserved domain architecture
A_alge,P23179,Ortholog not conserved
A_alge,P23201,Lost domain(s)
A_alge,P23503,Conserved domain architecture
A_alge,P23542,Ortholog not conserved
A_alge,P23615,Lost domain(s)
A_alge,P23644,Ortholog not conserved
A_alge,P23724,Ortholog not conserved
A_alge,P23748,Conserved domain architecture
A_alge,P23797,Conserved domain architecture
A_alge,P24309,Ortholog not conserved
A_alge,P24482,Ortholog not conserved
A_alge,P24521,Ortholog not conserved
A_alge,P25038,Ortholog not conserved
A_alge,P25040,Ortholog not conserved
A_alge,P25042,Ortholog not conserved
A_alge,P25043,Lost domain(s)
A_alge,P25270,Ortholog not conserved
A_alge,P25293,Ortholog not conserved
A_alge,P25298,Ortholog not conserved
A_alge,P25332,Ortholog not conserved
A_alge,P25337,Conserved domain architecture
A_alge,P25338,Ortholog not conserved
A_alge,P25355,Ortholog not conserved
A_alge,P25356,Ortholog not conserved
A_alge,P25357,Ortholog not conserved
A_alge,P25368,Ortholog not conserved
A_alge,P25374,Conserved domain architecture
A_alge,P25385,Lost domain(s)
A_alge,P25386,Ortholog not conserved
A_alge,P25441,Ortholog not conserved
A_alge,P25443,Conserved domain architecture
A_alge,P25451,Conserved domain architecture
A_alge,P25559,Ortholog not conserved
A_alge,P25560,Conserved domain architecture
A_alge,P25566,Ortholog not conserved
A_alge,P25567,Ortholog not conserved
A_alge,P25568,Ortholog not conserved
A_alge,P25569,Ortholog not conserved
A_alge,P25574,Ortholog not conserved
A_alge,P25578,Conserved domain architecture
A_alge,P25580,Ortholog not conserved
A_alge,P25586,Conserved domain architecture
A_alge,P25604,Ortholog not conserved
A_alge,P25615,Ortholog not conserved
A_alge,P25625,Ortholog not conserved
A_alge,P25626,Ortholog not conserved
A_alge,P25627,Lost domain(s)
A_alge,P25641,Ortholog not conserved
A_alge,P25644,Ortholog not conserved
A_alge,P25654,Ortholog not conserved
A_alge,P25655,Ortholog not conserved
A_alge,P26188,Ortholog not conserved
A_alge,P26321,Conserved domain architecture
A_alge,P26637,Lost domain(s)
A_alge,P26754,Conserved domain architecture
A_alge,P26783,Conserved domain architecture
A_alge,P27637,Ortholog not conserved
A_alge,P27680,Ortholog not conserved
A_alge,P27692,Ortholog not conserved
A_alge,P27697,Ortholog not conserved
A_alge,P27801,Ortholog not conserved
A_alge,P27825,Ortholog not conserved
A_alge,P27929,Ortholog not conserved
A_alge,P27999,Lost domain(s)
A_alge,P28004,Conserved domain architecture
A_alge,P28005,Ortholog not conserved
A_alge,P28007,Conserved domain architecture
A_alge,P28320,Conserved domain architecture
A_alge,P28321,Ortholog not conserved
A_alge,P28495,Ortholog not conserved
A_alge,P28519,Conserved domain architecture
A_alge,P28625,Ortholog not conserved
A_alge,P28707,Ortholog not conserved
A_alge,P28778,Ortholog not conserved
A_alge,P28789,Ortholog not conserved
A_alge,P28795,Ortholog not conserved
A_alge,P28817,Ortholog not conserved
A_alge,P29029,Ortholog not conserved
A_alge,P29055,Conserved domain architecture
A_alge,P29056,Conserved domain architecture
A_alge,P29468,Conserved domain architecture
A_alge,P29478,Conserved domain architecture
A_alge,P29539,Ortholog not conserved
A_alge,P29704,Ortholog not conserved
A_alge,P29952,Ortholog not conserved
A_alge,P30620,Ortholog not conserved
A_alge,P30656,Conserved domain architecture
A_alge,P30657,Conserved domain architecture
A_alge,P30775,Ortholog not conserved
A_alge,P30777,Conserved domain architecture
A_alge,P30822,Lost domain(s)
A_alge,P30902,Ortholog not conserved
A_alge,P31115,Conserved domain architecture
A_alge,P31116,Ortholog not conserved
A_alge,P31334,Ortholog not conserved
A_alge,P31381,Ortholog not conserved
A_alge,P31383,Lost domain(s)
A_alge,P31412,Conserved domain architecture
A_alge,P32074,Lost domain(s)
A_alge,P32179,Ortholog not conserved
A_alge,P32190,Ortholog not conserved
A_alge,P32191,Ortholog not conserved
A_alge,P32263,Ortholog not conserved
A_alge,P32317,Ortholog not conserved
A_alge,P32325,Lost domain(s)
A_alge,P32337,Ortholog not conserved
A_alge,P32339,Ortholog not conserved
A_alge,P32341,Ortholog not conserved
A_alge,P32347,Ortholog not conserved
A_alge,P32349,Lost domain(s)
A_alge,P32354,Ortholog not conserved
A_alge,P32357,Ortholog not conserved
A_alge,P32363,Conserved domain architecture
A_alge,P32366,Conserved domain architecture
A_alge,P32367,Lost domain(s)
A_alge,P32377,Conserved domain architecture
A_alge,P32378,Ortholog not conserved
A_alge,P32387,Ortholog not conserved
A_alge,P32432,Ortholog not conserved
A_alge,P32447,Conserved domain architecture
A_alge,P32463,Ortholog not conserved
A_alge,P32464,Ortholog not conserved
A_alge,P32469,Conserved domain architecture
A_alge,P32471,Ortholog not conserved
A_alge,P32473,Ortholog not conserved
A_alge,P32477,Conserved domain architecture
A_alge,P32481,Lost domain(s)
A_alge,P32494,Ortholog not conserved
A_alge,P32496,Ortholog not conserved
A_alge,P32497,Ortholog not conserved
A_alge,P32501,Ortholog not conserved
A_alge,P32502,Ortholog not conserved
A_alge,P32505,Ortholog not conserved
A_alge,P32524,Ortholog not conserved
A_alge,P32527,Lost domain(s)
A_alge,P32558,Conserved domain architecture
A_alge,P32559,Ortholog not conserved
A_alge,P32565,Lost domain(s)
A_alge,P32567,Conserved domain architecture
A_alge,P32579,Ortholog not conserved
A_alge,P32580,Ortholog not conserved
A_alge,P32583,Ortholog not conserved
A_alge,P32584,Conserved domain architecture
A_alge,P32599,Ortholog not conserved
A_alge,P32602,Ortholog not conserved
A_alge,P32606,Ortholog not conserved
A_alge,P32609,Ortholog not conserved
A_alge,P32610,Ortholog not conserved
A_alge,P32611,Ortholog not conserved
A_alge,P32617,Conserved domain architecture
A_alge,P32628,Ortholog not conserved
A_alge,P32641,Ortholog not conserved
A_alge,P32656,Ortholog not conserved
A_alge,P32771,Ortholog not conserved
A_alge,P32773,Conserved domain architecture
A_alge,P32774,Conserved domain architecture
A_alge,P32775,Ortholog not conserved
A_alge,P32776,Ortholog not conserved
A_alge,P32783,Conserved domain architecture
A_alge,P32785,Ortholog not conserved
A_alge,P32787,Ortholog not conserved
A_alge,P32799,Ortholog not conserved
A_alge,P32807,Ortholog not conserved
A_alge,P32829,Lost domain(s)
A_alge,P32831,Ortholog not conserved
A_alge,P32833,Conserved domain architecture
A_alge,P32839,Ortholog not conserved
A_alge,P32844,Conserved domain architecture
A_alge,P32855,Ortholog not conserved
A_alge,P32860,Ortholog not conserved
A_alge,P32875,Ortholog not conserved
A_alge,P32896,Ortholog not conserved
A_alge,P32897,Ortholog not conserved
A_alge,P32899,Lost domain(s)
A_alge,P32901,Conserved domain architecture
A_alge,P32902,Ortholog not conserved
A_alge,P32904,Ortholog not conserved
A_alge,P32906,Ortholog not conserved
A_alge,P32910,Conserved domain architecture
A_alge,P32911,Conserved domain architecture
A_alge,P32912,Ortholog not conserved
A_alge,P32914,Conserved domain architecture
A_alge,P32916,Lost domain(s)
A_alge,P33201,Ortholog not conserved
A_alge,P33202,Ortholog not conserved
A_alge,P33203,Ortholog not conserved
A_alge,P33204,Ortholog not conserved
A_alge,P33296,Ortholog not conserved
A_alge,P33307,Ortholog not conserved
A_alge,P33317,Ortholog not conserved
A_alge,P33322,Gained/swapped domain(s)
A_alge,P33327,Ortholog not conserved
A_alge,P33330,Ortholog not conserved
A_alge,P33331,Ortholog not conserved
A_alge,P33334,Ortholog not conserved
A_alge,P33338,Ortholog not conserved
A_alge,P33339,Lost domain(s)
A_alge,P33411,Ortholog not conserved
A_alge,P33412,Conserved domain architecture
A_alge,P33418,Ortholog not conserved
A_alge,P33750,Lost domain(s)
A_alge,P33753,Ortholog not conserved
A_alge,P33754,Ortholog not conserved
A_alge,P33755,Gained/swapped domain(s)
A_alge,P33759,Ortholog not conserved
A_alge,P33767,Ortholog not conserved
A_alge,P33892,Ortholog not conserved
A_alge,P33893,Ortholog not conserved
A_alge,P34077,Ortholog not conserved
A_alge,P34078,Ortholog not conserved
A_alge,P34087,Lost domain(s)
A_alge,P34160,Ortholog not conserved
A_alge,P34167,Ortholog not conserved
A_alge,P34217,Ortholog not conserved
A_alge,P34220,Conserved domain architecture
A_alge,P34222,Ortholog not conserved
A_alge,P34223,Ortholog not conserved
A_alge,P34227,Ortholog not conserved
A_alge,P34240,Ortholog not conserved
A_alge,P34241,Ortholog not conserved
A_alge,P34247,Ortholog not conserved
A_alge,P34248,Ortholog not conserved
A_alge,P34253,Ortholog not conserved
A_alge,P34756,Ortholog not conserved
A_alge,P34909,Gained/swapped domain(s)
A_alge,P35127,Ortholog not conserved
A_alge,P35178,Ortholog not conserved
A_alge,P35179,Conserved domain architecture
A_alge,P35180,Ortholog not conserved
A_alge,P35184,Ortholog not conserved
A_alge,P35187,Lost domain(s)
A_alge,P35194,Ortholog not conserved
A_alge,P35195,Ortholog not conserved
A_alge,P35201,Ortholog not conserved
A_alge,P35202,Ortholog not conserved
A_alge,P35688,Ortholog not conserved
A_alge,P35691,Ortholog not conserved
A_alge,P35718,Lost domain(s)
A_alge,P35728,Gained/swapped domain(s)
A_alge,P35729,Ortholog not conserved
A_alge,P36010,Conserved domain architecture
A_alge,P36015,Lost domain(s)
A_alge,P36016,Ortholog not conserved
A_alge,P36022,Ortholog not conserved
A_alge,P36037,Ortholog not conserved
A_alge,P36039,Ortholog not conserved
A_alge,P36046,Ortholog not conserved
A_alge,P36049,Ortholog not conserved
A_alge,P36051,Ortholog not conserved
A_alge,P36053,Conserved domain architecture
A_alge,P36056,Ortholog not conserved
A_alge,P36059,Conserved domain architecture
A_alge,P36070,Ortholog not conserved
A_alge,P36075,Ortholog not conserved
A_alge,P36078,Ortholog not conserved
A_alge,P36080,Ortholog not conserved
A_alge,P36084,Ortholog not conserved
A_alge,P36086,Ortholog not conserved
A_alge,P36095,Ortholog not conserved
A_alge,P36097,Ortholog not conserved
A_alge,P36100,Lost domain(s)
A_alge,P36102,Ortholog not conserved
A_alge,P36104,Lost domain(s)
A_alge,P36108,Ortholog not conserved
A_alge,P36112,Ortholog not conserved
A_alge,P36113,Ortholog not conserved
A_alge,P36119,Ortholog not conserved
A_alge,P36121,Ortholog not conserved
A_alge,P36126,Conserved domain architecture
A_alge,P36137,Ortholog not conserved
A_alge,P36145,Conserved domain architecture
A_alge,P36146,Ortholog not conserved
A_alge,P36147,Ortholog not conserved
A_alge,P36149,Lost domain(s)
A_alge,P36152,Lost domain(s)
A_alge,P36154,Ortholog not conserved
A_alge,P36159,Gained/swapped domain(s)
A_alge,P36160,Lost domain(s)
A_alge,P36163,Ortholog not conserved
A_alge,P36164,Ortholog not conserved
A_alge,P36421,Conserved domain architecture
A_alge,P36516,Ortholog not conserved
A_alge,P36520,Ortholog not conserved
A_alge,P36523,Ortholog not conserved
A_alge,P36525,Ortholog not conserved
A_alge,P36527,Ortholog not conserved
A_alge,P36528,Ortholog not conserved
A_alge,P36531,Ortholog not conserved
A_alge,P36532,Ortholog not conserved
A_alge,P36775,Ortholog not conserved
A_alge,P37020,Ortholog not conserved
A_alge,P37263,Ortholog not conserved
A_alge,P37303,Ortholog not conserved
A_alge,P37366,Ortholog not conserved
A_alge,P37370,Ortholog not conserved
A_alge,P38061,Conserved domain architecture
A_alge,P38071,Ortholog not conserved
A_alge,P38074,Ortholog not conserved
A_alge,P38077,Ortholog not conserved
A_alge,P38120,Ortholog not conserved
A_alge,P38121,Lost domain(s)
A_alge,P38126,Ortholog not conserved
A_alge,P38138,Ortholog not conserved
A_alge,P38139,Ortholog not conserved
A_alge,P38166,Conserved domain architecture
A_alge,P38169,Ortholog not conserved
A_alge,P38170,Conserved domain architecture
A_alge,P38179,Ortholog not conserved
A_alge,P38182,Ortholog not conserved
A_alge,P38191,Ortholog not conserved
A_alge,P38197,Ortholog not conserved
A_alge,P38198,Ortholog not conserved
A_alge,P38206,Ortholog not conserved
A_alge,P38207,Lost domain(s)
A_alge,P38211,Conserved domain architecture
A_alge,P38213,Gained/swapped domain(s)
A_alge,P38217,Ortholog not conserved
A_alge,P38221,Conserved domain architecture
A_alge,P38230,Ortholog not conserved
A_alge,P38237,Lost domain(s)
A_alge,P38241,Ortholog not conserved
A_alge,P38242,Ortholog not conserved
A_alge,P38249,Ortholog not conserved
A_alge,P38250,Ortholog not conserved
A_alge,P38251,Conserved domain architecture
A_alge,P38257,Ortholog not conserved
A_alge,P38261,Ortholog not conserved
A_alge,P38264,Conserved domain architecture
A_alge,P38274,Ortholog not conserved
A_alge,P38281,Ortholog not conserved
A_alge,P38283,Ortholog not conserved
A_alge,P38293,Ortholog not conserved
A_alge,P38297,Ortholog not conserved
A_alge,P38301,Ortholog not conserved
A_alge,P38316,Ortholog not conserved
A_alge,P38319,Ortholog not conserved
A_alge,P38323,Ortholog not conserved
A_alge,P38328,Ortholog not conserved
A_alge,P38329,Ortholog not conserved
A_alge,P38332,Conserved domain architecture
A_alge,P38333,Ortholog not conserved
A_alge,P38334,Ortholog not conserved
A_alge,P38336,Conserved domain architecture
A_alge,P38340,Ortholog not conserved
A_alge,P38342,Conserved domain architecture
A_alge,P38345,Ortholog not conserved
A_alge,P38351,Ortholog not conserved
A_alge,P38356,Ortholog not conserved
A_alge,P38361,Ortholog not conserved
A_alge,P38430,Ortholog not conserved
A_alge,P38431,Lost domain(s)
A_alge,P38439,Ortholog not conserved
A_alge,P38523,Ortholog not conserved
A_alge,P38624,Conserved domain architecture
A_alge,P38628,Gained/swapped domain(s)
A_alge,P38630,Conserved domain architecture
A_alge,P38632,Conserved domain architecture
A_alge,P38633,Conserved domain architecture
A_alge,P38687,Ortholog not conserved
A_alge,P38688,Ortholog not conserved
A_alge,P38698,Ortholog not conserved
A_alge,P38701,Conserved domain architecture
A_alge,P38705,Ortholog not conserved
A_alge,P38708,Conserved domain architecture
A_alge,P38736,Ortholog not conserved
A_alge,P38737,Ortholog not conserved
A_alge,P38740,Ortholog not conserved
A_alge,P38741,Ortholog not conserved
A_alge,P38744,Ortholog not conserved
A_alge,P38747,Ortholog not conserved
A_alge,P38748,Ortholog not conserved
A_alge,P38750,Ortholog not conserved
A_alge,P38759,Ortholog not conserved
A_alge,P38764,Lost domain(s)
A_alge,P38768,Ortholog not conserved
A_alge,P38771,Ortholog not conserved
A_alge,P38772,Ortholog not conserved
A_alge,P38782,Conserved domain architecture
A_alge,P38783,Ortholog not conserved
A_alge,P38786,Conserved domain architecture
A_alge,P38791,Conserved domain architecture
A_alge,P38792,Lost domain(s)
A_alge,P38793,Conserved domain architecture
A_alge,P38795,Ortholog not conserved
A_alge,P38796,Ortholog not conserved
A_alge,P38797,Ortholog not conserved
A_alge,P38798,Ortholog not conserved
A_alge,P38803,Ortholog not conserved
A_alge,P38804,Ortholog not conserved
A_alge,P38811,Lost domain(s)
A_alge,P38812,Ortholog not conserved
A_alge,P38820,Conserved domain architecture
A_alge,P38828,Ortholog not conserved
A_alge,P38829,Conserved domain architecture
A_alge,P38836,Ortholog not conserved
A_alge,P38842,Ortholog not conserved
A_alge,P38843,Conserved domain architecture
A_alge,P38849,Ortholog not conserved
A_alge,P38850,Ortholog not conserved
A_alge,P38852,Ortholog not conserved
A_alge,P38860,Ortholog not conserved
A_alge,P38861,Conserved domain architecture
A_alge,P38862,Ortholog not conserved
A_alge,P38869,Conserved domain architecture
A_alge,P38873,Ortholog not conserved
A_alge,P38874,Ortholog not conserved
A_alge,P38875,Ortholog not conserved
A_alge,P38877,Ortholog not conserved
A_alge,P38878,Ortholog not conserved
A_alge,P38879,Lost domain(s)
A_alge,P38882,Gained/swapped domain(s)
A_alge,P38886,Conserved domain architecture
A_alge,P38903,Conserved domain architecture
A_alge,P38910,Ortholog not conserved
A_alge,P38912,Conserved domain architecture
A_alge,P38934,Ortholog not conserved
A_alge,P38959,Ortholog not conserved
A_alge,P38961,Conserved domain architecture
A_alge,P38962,Ortholog not conserved
A_alge,P38968,Lost domain(s)
A_alge,P38987,Ortholog not conserved
A_alge,P38994,Ortholog not conserved
A_alge,P38996,Ortholog not conserved
A_alge,P39007,Ortholog not conserved
A_alge,P39008,Gained/swapped domain(s)
A_alge,P39012,Ortholog not conserved
A_alge,P39079,Conserved domain architecture
A_alge,P39081,Ortholog not conserved
A_alge,P39111,Conserved domain architecture
A_alge,P39515,Ortholog not conserved
A_alge,P39525,Ortholog not conserved
A_alge,P39526,Ortholog not conserved
A_alge,P39682,Ortholog not conserved
A_alge,P39685,Ortholog not conserved
A_alge,P39706,Ortholog not conserved
A_alge,P39721,Ortholog not conserved
A_alge,P39722,Ortholog not conserved
A_alge,P39726,Ortholog not conserved
A_alge,P39727,Ortholog not conserved
A_alge,P39730,Lost domain(s)
A_alge,P39731,Ortholog not conserved
A_alge,P39744,Ortholog not conserved
A_alge,P39904,Ortholog not conserved
A_alge,P39923,Ortholog not conserved
A_alge,P39929,Ortholog not conserved
A_alge,P39937,Ortholog not conserved
A_alge,P39954,Ortholog not conserved
A_alge,P39956,Ortholog not conserved
A_alge,P39968,Ortholog not conserved
A_alge,P39985,Ortholog not conserved
A_alge,P39994,Ortholog not conserved
A_alge,P39998,Ortholog not conserved
A_alge,P40005,Ortholog not conserved
A_alge,P40007,Ortholog not conserved
A_alge,P40008,Ortholog not conserved
A_alge,P40013,Ortholog not conserved
A_alge,P40015,Ortholog not conserved
A_alge,P40016,Lost domain(s)
A_alge,P40018,Conserved domain architecture
A_alge,P40019,Ortholog not conserved
A_alge,P40029,Ortholog not conserved
A_alge,P40031,Ortholog not conserved
A_alge,P40032,Lost domain(s)
A_alge,P40033,Ortholog not conserved
A_alge,P40040,Lost domain(s)
A_alge,P40051,Ortholog not conserved
A_alge,P40055,Conserved domain architecture
A_alge,P40061,Ortholog not conserved
A_alge,P40078,Conserved domain architecture
A_alge,P40085,Ortholog not conserved
A_alge,P40086,Ortholog not conserved
A_alge,P40087,Ortholog not conserved
A_alge,P40093,Conserved domain architecture
A_alge,P40099,Ortholog not conserved
A_alge,P40151,Ortholog not conserved
A_alge,P40154,Ortholog not conserved
A_alge,P40157,Lost domain(s)
A_alge,P40160,Lost domain(s)
A_alge,P40164,Ortholog not conserved
A_alge,P40165,Conserved domain architecture
A_alge,P40206,Ortholog not conserved
A_alge,P40208,Lost domain(s)
A_alge,P40210,Ortholog not conserved
A_alge,P40217,Lost domain(s)
A_alge,P40302,Lost domain(s)
A_alge,P40317,Ortholog not conserved
A_alge,P40318,Ortholog not conserved
A_alge,P40335,Ortholog not conserved
A_alge,P40343,Ortholog not conserved
A_alge,P40344,Ortholog not conserved
A_alge,P40347,Ortholog not conserved
A_alge,P40350,Ortholog not conserved
A_alge,P40351,Ortholog not conserved
A_alge,P40359,Conserved domain architecture
A_alge,P40362,Ortholog not conserved
A_alge,P40422,Ortholog not conserved
A_alge,P40459,Ortholog not conserved
A_alge,P40460,Lost domain(s)
A_alge,P40468,Ortholog not conserved
A_alge,P40469,Ortholog not conserved
A_alge,P40477,Ortholog not conserved
A_alge,P40481,Ortholog not conserved
A_alge,P40486,Ortholog not conserved
A_alge,P40492,Lost domain(s)
A_alge,P40493,Ortholog not conserved
A_alge,P40496,Ortholog not conserved
A_alge,P40498,Ortholog not conserved
A_alge,P40506,Ortholog not conserved
A_alge,P40509,Ortholog not conserved
A_alge,P40513,Ortholog not conserved
A_alge,P40515,Ortholog not conserved
A_alge,P40516,Ortholog not conserved
A_alge,P40517,Ortholog not conserved
A_alge,P40530,Ortholog not conserved
A_alge,P40531,Ortholog not conserved
A_alge,P40541,Ortholog not conserved
A_alge,P40544,Ortholog not conserved
A_alge,P40547,Conserved domain architecture
A_alge,P40554,Conserved domain architecture
A_alge,P40555,Ortholog not conserved
A_alge,P40562,Ortholog not conserved
A_alge,P40565,Ortholog not conserved
A_alge,P40566,Ortholog not conserved
A_alge,P40571,Conserved domain architecture
A_alge,P40825,Lost domain(s)
A_alge,P40850,Ortholog not conserved
A_alge,P40857,Conserved domain architecture
A_alge,P40858,Ortholog not conserved
A_alge,P40957,Conserved domain architecture
A_alge,P40958,Ortholog not conserved
A_alge,P40959,Ortholog not conserved
A_alge,P40960,Ortholog not conserved
A_alge,P40962,Ortholog not conserved
A_alge,P40987,Conserved domain architecture
